name,delta,theta,alpha,sigma,beta,gamma
P8,0.8596188828776911,0.05682516554860188,0.0357433402549033,0.020715454471867612,0.019733433871029438,0.007363722975906511
P11,0.8485788403901512,0.06930116491374032,0.030136106056869044,0.01648354640417661,0.025617262368863986,0.009883079866198588
P12,0.8596267875556166,0.07456597970037575,0.034922890414526356,0.011800175515542329,0.014239916021800586,0.004844250792138122
P15,0.8574580302155902,0.04464433137413469,0.021869842286263545,0.016155384299843794,0.036040551132354104,0.023831860691813513
P17,0.8300598342111716,0.055438079223225696,0.03739662620126913,0.02332377081118902,0.03885585906067174,0.014925830492472612
P18,0.8481643747879584,0.059366374989769294,0.047220640979112924,0.018932303227940008,0.019919736094034687,0.006396569921184508
P20,0.8682537719921299,0.06415270275564597,0.022913031863060592,0.020299874824378464,0.019190247297507675,0.005190371267277049
P21,0.8289344113290857,0.08376407956303007,0.035779028909571596,0.020787754890150646,0.02155593146314733,0.00917879384501439
P22,0.8800631968055114,0.058681541712773566,0.024733596899989507,0.016465161396071633,0.014802720433241037,0.005253782752412714
